region,anzsic_descriptor,gas,units,magnitude,year,data_val
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,3810.25
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,3992.49
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,4004.55
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,3946.95
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,4241.92
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,4056.54
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,4364.4
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,4396.87
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,4246.93
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,4257.26
Southland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,4100.49
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,2232.44
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,2143.05
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,2186.47
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,2379.56
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,2306.16
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,2219.73
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,2297.46
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,2273.04
